所有 一切、全部。 他必須盡量考慮<所有>可能發生的經驗。
連 當代臺灣政治人物，曾任臺灣副總統(1996-2000)、中國國民黨黨主席(2000-2005)。 王、馬陣營當然明白連戰未來走向，對黨內力量對比的影響，紛紛打出「尊<連>」的口號。
郝 當代臺灣政治人物，曾任臺灣國防部部長(1989-1990)、行政院院長(1990-1993)。 針對近日流傳國安局內部失和以及所謂<郝>宋失和的傳聞，有關單位正密切注意其發展。
郝柏村 當代臺灣政治人物，曾任行政院院長(1990-1993)。 <郝柏村>強調，政府絕無任何掩飾或規避的意思。
王 當代臺灣政治人物，立法院院長(1999年起)。 今天上午11點多"連<王>馬會"在國民黨榮譽主席連戰辦公室登場。
王 當代臺灣知名棒球投手，目前隸屬於美國職棒大聯盟洋基隊（2005年起）。 當<王>成為台灣之光時，郭正在努力站穩大聯盟的地位。
迷 疑惑、看不清、不明白。 眾生與菩薩只是覺與<迷>的分別而已。
犯 疾病病徵再次發生。 36歲的王義夫今年患了低血糖病，常常感到缺氧和頭暈，這種病今年已經<犯>了四次。
風 疾病症狀忽隱忽現，疼痛部位會移位的現象。 內<風>就是指各種神經系統疾病的徵候。
發出 病徵出現。 他對於結核菌產生了過敏性的反應，而在雙腿上<發出>了這種結節性紅斑。
受 痛的感覺。 「十二因緣說」：無明行識名色六入觸<受>愛取有生老死。其中「愛」是起心動念，盲目追求造業的動力（原因）。
攻 登山時攀登到山頂。 我常常想，一個登山者除了<攻>高頂以外還能做什麼？
掛 登記並留下紀錄以獲得特定服務。 請問股票漲停或跌停後<掛>的單一般是什麼誰<掛>的?
抄 登記後述足以辨別身份的資料作為處罰或其他法律行為的依據。 一攔下什麼也沒說，就是<抄>學號。
上 登載在媒體或公告上。 在美國很難有機會<上>鏡頭，這次有機會，為什麼不試試﹖
嚷 發出使人不悅的聲音，通常是大或雜。 你們叫大夥在外面等，不要<嚷>，免得上面的人分心，滑了手。
嗚 發出口中有物而無法開口說話所產生的聲音。 我想叫救命，可是嘴裏塞了這麼大這麼粗的東西，只能「<嗚><嗚><嗚>」，後來真的太累了，我就連「<嗚>」都不「<嗚>」了，死魚一樣的翻著白眼。
嗚 發出哭泣的嗚聲。 因為我們學校滿分是四百分，我考三百九十一，那我記得很清楚，那個時候我就不曉得為什麼﹖我就開始在那邊<嗚>，在哭啊！
嗚 發出汽笛的嗚聲。 當「長江明珠號」輪船<嗚><嗚><嗚>了幾聲汽笛，船在江面上顫抖，就像我此時的心情，緊張地捏著相機，盼望已久的長江三峽即將展開現在我的面前。
吱 發出聲音。 張書記還詳細詢問了老兩口的病情和生活，告訴他們別著急，有啥困難<吱>一聲。
起 發動。 我想邀邀街坊鄰居<起>個伍千塊的會，我準備參加兩份。
驅 發動引擎使特定機器開始運作，通常是交通工具。 一般行駛時，汽油引擎與電動馬達啟動，系統智能切換形成雙源共<驅>、節能減排。
問題 發問的內容。 順便問一下<問題>：要怎樣才能得到會員優待？
發 發射彈藥次數的單位。 哥哥到靶場打靶，一<發>即中，哥哥樂得笑哈哈。
發 發射雷射光線次數的單位。 一<發>指雷射光束射出一個治療光點。
放 發射飛行物。 我知道這人是誰，因為我認得他<放>暗器的手法。
打 發展特定人際關係。 她忽然對錢老爺說：錢老爺，我們來<打>個交道，你家的女兒和我家巧伶交換。
帶 發揮個人領袖特質帶領後述對象。 對事嚴厲、對人溫柔，這是李焜耀<帶>員工的方法。
BJ4 發文者認為有些事情是大家都應該知道的時候，就會用這句話，表示不需要多做說明。 關於這個問題<BJ4>。
發掘 發現並挖掘地底下的埋藏物。 近日，考古工作人員在對（湖北省）荊州熊家塚楚墓大車馬坑發掘時發現戰國馬車。
事件 發生在特定時間地點的事，具有特定影響力。 在《百年孤寂》中歷史中的大屠殺<事件>，卻像是在一場夢裡面進行的。
颱 發生在西太平洋或印度洋上，由強烈熱帶性低氣壓或熱帶氣旋所引起的強度達到特定標準的風暴。 西北<颱>和西南氣流，造成大豪雨。
發 發生後述災難。 建築師希望<發>大火燒掉城市的三分之一。
動 發生肢體衝突。 很想打他啦！但是不敢<動>他啦！他們全家都是紙糊的。
幹 發生衝突。 走上前台開始大打出手，國美和蘇寧<幹>起來了。
打 發聲時，使舌頭快速振動。 其實，西班牙文中的某些字需要<打>不打舌不是關鍵，重點是對西班牙語的熱情喔！
放出來 發表程式或發行數位產品，通常放在網路上提供給他人免費使用。 win2000確實在beta就有<放出來>給人測試，ie5.5現在也有。
矢 發誓做到後述事件。 自由黨<矢>奪11席。
喔唷 發語詞，表不耐煩的語氣。 <喔唷>！真煩惱，要買哪一個好呢？
喔唷 發語詞，表痛苦、呼痛的聲音。 <喔唷>！痛死我啦！
喔唷 發語詞，表驚訝的語氣。 <喔唷>！有這麼厲害！
電 發電機所產生的電能量。 電筒開著，但已經沒有<電>。
亮 白天開始時太陽從地平線升起照亮天空。 到的時候天還沒<亮>。
白居易 白居易的作品。 他蒐集不少大陸國小教科書，發現他們從小就要讀<白居易>、韓愈、劉禹錫等。
筋 白色帶狀的結締組織，質堅韌而富彈性，有連接骨骼，並有固定器官位置的功能。 皇馬方面已經証實，羅納爾多是腿<筋>拉傷，將有兩周時間無法上場。
練 白色的絹布。 這樣仿佛將魚置於籃子裏，哪還會有「靜江如<練>拋玉尺」的英姿呢？
鹽 白色結晶體，烹調食物時用來增加鹹度。 所謂開門七件事，就是柴米油<鹽>醬醋茶。
白 白話文。 作者採用文<白>相間的語言，就避免了上述的完全採用文言或完全採用白話的毛病。
白 白話音。 粵語也有文<白>異讀的現象，一類主要表現在聲母或韻母讀音出現變化。
八成 百分之八十。 大一學生六成五同意，大二有七成六，大三、大四則在<八成>以上。
櫃 百貨公司中銷售特定品牌的商品的獨立單位。 SOGOBR4尚有羅密歐一代的鏡片，請王先生攜帶你的眼鏡及保固卡，至SOGOBR4<櫃>上，你可直接購買鏡片。
百貨公司 百貨公司的建築物及建築物所在的位置。 在<百貨公司>買東西真方便，價錢方面算是很合理吧！
泡 皮膚上內含液體的半球狀突出物。 昨天炸花枝排被油燙到手起了2個<泡>。
皺 皮膚或物體上的褶紋。 抗<皺>永遠是一個女人護膚的主旋律。
疹 皮膚表面因過敏或其他因素而長出的小顆粒，通常是紅色。 皮膚炎常在表層有化膿性金黃葡萄球菌叢生，或引起單純性<疹>。
盒 盒裝物品的單位。 水水們要大量購買也不一定要以<盒>計算，也可以以朵來計算喔！
碟子 盛放食物的小淺底器皿。 尼泊爾男女老少帶著銅製的<碟子>，碟上堆滿米。
皿 盛裝物體的小型容器。 電視節目「世界正麼大」5月20日介紹印度古早使用梭欏葉作為<皿>器。
力圖 盡力達成後述目的。 1991年將是德國網球巨星貝克<力圖>重振雄風再度獨領國際男網風騷的開始。
力爭 盡最大的努力和其他對象互相奪取特定對象，不退讓。 在日本投降後，荷蘭軍隊捲土重來，印尼人民<力爭>獨立，掀起連天戰火。
監獄 監獄的建築物及建築物所在的位置。 他一直在那<監獄>中待了十八年，最終獲得平反，活著出了牢房。
課 監督後述對象進行特定事件。 我雖然<課>徒甚嚴，但是我也很注重個人心理的感受。
看 監視管理。 她早就想逃，但叛軍<看>人<看>得很嚴，很難有機會。
大盤 直接向商品製造者購買商品並出售的批發商。 本網站全面<大盤>批發價，提供最時尚的化妝品。
屏 直立式的片狀家具，具有分隔、遮蔽或美化的功能。 固定鏤空隔<屏>來區隔玄關與餐廳。
脈 直系血親構成的家族系統。 理由很明確，她不能生，你不能讓我們這一<脈>斷了香火啊！
垂直 直線或平面相交成直角。 艾氏以圓柱的<垂直>韻律去回應它環狀的圓頂。
切 直線與弧線或兩弧線相接於一點。 圓弧及橢圓都有其相<切>的部份。
弦 直角三角形上的斜邊。 所謂的勾股<弦>定理就是有名的商高定理，也就是畢氏定理。
股 直角三角形中二直角邊的任一邊。 已知直角三角形的一<股>長為8，斜邊長為10，求另一<股>的長度。
車 相互連結用在軌道上行駛的運輸工具中的一節。 檢察官問李泰安坐第幾<車>、第幾號位子？他則說，他不記得了！
信託 相信並託付給後述對象。 我們不怕神不把我們放在工場上，只怕祂不肯<信託>我們這些不忠心的人。
重複 相同的事件再次發生。 影片裡這個畫面<重複>好幾次了。
同時 相同的時段。 大風呼嘯著，像千千萬萬個惡鬼在<同時>發威。
多數 相對數量大的特定對象。 民主的基本概念是少數服從<多數>。
少數 相對數量小的人事物。 經過表決後，我們決定尊重<少數>好了。
先決 相機的功能之一，使用者可自行決定光圈大小或快門速度的功能。 快門<先決>的自動曝光照相機適於抓取高速運動的瞬間。
逗 相聲的四門基本功之一，在相聲表演中以言語引人發笑，表現幽默、風趣的一種技巧。 大家都知道，相聲四門基本功是「說、學、<逗>、唱」。
說 相聲的四門基本功之一，在相聲表演中做口頭言語敘說的一種技巧，是其藝術表現方式的主體與根本。 大家都知道，相聲四門基本功是「<說>、學、逗、唱」。
唱 相聲的四門基本功之一，在相聲表演中模擬特定曲藝表演的身段及唱腔一種技巧。 大家都知道，相聲四門基本功是「說、學、逗、<唱>」。
逗 相聲表演中以言語引人發笑，表現幽默、風趣。 中國首臺個人機器人誕生會說學<逗>唱，還會發短信。
侶 相處在一起或同在一起，互相扶持的人。 少年時的同窗、球<侶>、遊伴、鐵杆們都不知在哪兒發財。
好朋友 相識且交情深厚的友人。 短短時間內，我們很快就成了無話不談的<好朋友>。
老朋友 相識或交情已久的友人。 你將來很有希望，回國別忘了我這個<老朋友>呀！
妖 相貌奇特能施法術害人的怪物。 白蛇<妖>啊，妳不過是條蛇，跟人談論什麼人倫呢？
連續 相連、不間斷的。 你的自變項哦，是不<連續>變項，那是類別變項，還是次序變項。
道 省份，古代或韓國行政區域的名稱。 唐太宗貞觀時代分天下為十<道>，後增為十五<道>，相當於現在的省。
湖南 省名，華中的省分，在洞庭湖之南。 毛澤東早年在<湖南>讀師範時對自然科學課程不感興趣。
眉 眉毛所在的位置。 由於光線晃眼，便把右手抬起放在<眉>上遮光。
眉 眉毛的輪廓或經人工修飾後的眉毛輪廓。 現在的女性不一樣了，為了讓自己看起來有精神，年輕女孩會考慮紋<眉>。
目睹 看到並可以向他人轉述。 在城堡內也不時放幻燈片，讓遊客能<目睹>其庭園四季的不同變化。
買 看對方的情面，表示可以通融。 顧太太對自己的言談舉止很有信心，因為大家都<買>她的帳，母親的話顧太太根本充耳不聞。
視 看待。 炎炎夏日，小朋友<視>游泳為清涼的享受。
真 真實不變的道理。 促進人文、藝術、科學教育的融合，追求<真>、善、美的統一。
誠 真心真意對待所有人事的態度。 中國人交朋友，最重要的原則是<誠>和信。
意在 真正的用意在於後述描述。 本文<意在>強調，這兩個學科對比較的眼界應更加關注，以避免以往所發生的錯誤。
真 真的對象。 雖然隆乳後外觀驚人，觸感也不致於有異樣，他們卻表示假做<真>時<真>亦假。
眶 眼眶內的範圍。 忍不住淚眼滿<眶>，數度哽咽。
閃 眼睛呈現睜大而明亮的狀態。 孩子<閃>著目光，彎腰奔入樹林。
視聽 眼睛和耳朵接受到的訊息。 這種說法，在國際<視聽>上將會對中華奧會造成莫大的困擾。
